,CID,smiles_repr,selfies_repr,h_acc,h_don,C,H,O,N,P,Cl,S,Se,As,Br,Ca,Co,Fe,Hg,I,K,Mg,Na,Ni
0,1,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,[C][C][=Branch1][C][=O][O][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O-1][C][N+1][Branch1][C][C][Branch1][C][C][C],0,4,9,17,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,CC(=O)OC(CC(=O)O)C[N+](C)(C)C,[C][C][=Branch1][C][=O][O][C][Branch1][#Branch1][C][C][=Branch1][C][=O][O][C][N+1][Branch1][C][C][Branch1][C][C][C],1,4,9,18,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,C1=CC(C(C(=C1)C(=O)O)O)O,[C][=C][C][Branch1][S][C][Branch1][N][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][=Branch1][C][=O][O][O][O],3,4,7,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,CC(CN)O,[C][C][Branch1][Ring1][C][N][O],2,2,3,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,C(C(=O)COP(=O)(O)O)N,[C][Branch1][#C][C][=Branch1][C][=O][C][O][P][=Branch1][C][=O][Branch1][C][O][O][N],3,6,3,8,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,[C][=C][C][=Branch2][Ring1][C][=C][Branch1][#Branch2][C][=C][Ring1][=Branch1][N+1][=Branch1][C][=O][O-1][N+1][=Branch1][C][=O][O-1][Cl],0,4,6,3,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,CCN1C=NC2=C(N=CN=C21)N,[C][C][N][C][=N][C][=C][Branch1][=Branch2][N][=C][N][=C][Ring1][=Branch1][Ring1][=Branch2][N],1,4,7,9,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,CCC(C)(C(C(=O)O)O)O,[C][C][C][Branch1][C][C][Branch1][#Branch2][C][Branch1][=Branch1][C][=Branch1][C][=O][O][O][O],3,4,6,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O,[C][Branch2][Ring1][#C][C][Branch2][Ring1][#Branch2][C][Branch2][Ring1][Branch1][C][Branch1][=Branch2][C][Branch1][Branch1][C][Ring1][=Branch1][O][O][O][P][=Branch1][C][=O][Branch1][C][O][O][O][O][O],7,9,6,13,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,C1C(NC2=C(N1)NC(=NC2=O)N)CN(C=O)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,[C][C][Branch2][Ring1][Ring1][N][C][=C][Branch1][Ring2][N][Ring1][=Branch1][N][C][=Branch1][=Branch1][=N][C][Ring1][#Branch1][=O][N][C][N][Branch1][Ring1][C][=O][C][=C][C][=C][Branch1][Branch1][C][=C][Ring1][=Branch1][C][=Branch1][C][=O][N][C][Branch1][Branch2][C][C][C][=Branch1][C][=O][O][C][=Branch1][C][=O][O],7,9,20,23,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11,C(CCl)Cl,[C][Branch1][Ring1][C][Cl][Cl],0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
11,12,C1=C(C=C(C(=C1O)O)O)O,[C][=C][Branch1][=C][C][=C][Branch1][=Branch2][C][=Branch1][Branch1][=C][Ring1][=Branch1][O][O][O][O],4,4,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
