,Unnamed: 0,CID,BP,MP,BP_parsed_C,has_units_BP,MP_parsed_C,has_units_MP
0,0,1,unavailable,unavailable,unavailable,N/A,unavailable,N/A
1,1,2,unavailable,unavailable,unavailable,N/A,unavailable,N/A
2,2,3,unavailable,unavailable,unavailable,N/A,unavailable,N/A
3,3,4,"
313 to 316 °F at 758 mmHg (NTP, 1992)
","
34.5 °F (NTP, 1992)
",156.11111111111111,y,1.1111111111111112,y
4,4,5,unavailable,unavailable,unavailable,N/A,unavailable,N/A
5,5,6,"
315 °C
","
52-54 °C
",315,y,52,y
6,6,7,unavailable,unavailable,unavailable,N/A,unavailable,N/A
7,7,8,unavailable,unavailable,unavailable,N/A,unavailable,N/A
8,8,9,unavailable,unavailable,unavailable,N/A,unavailable,N/A
9,9,10,unavailable,unavailable,unavailable,N/A,unavailable,N/A
10,10,11,"
182.3 °F at 760 mmHg (NTP, 1992)
","
-31.5 °F (NTP, 1992)
",83.33333333333334,y,-0.5555555555555556,y
11,11,12,unavailable,unavailable,unavailable,N/A,unavailable,N/A
12,12,13,"
415 °F at 760 mmHg (NTP, 1992)
","
63 °F (NTP, 1992)
",212.7777777777778,y,17.22222222222222,y
13,13,14,unavailable,unavailable,unavailable,N/A,unavailable,N/A
14,14,15,unavailable,unavailable,unavailable,N/A,unavailable,N/A
15,15,16,unavailable,unavailable,unavailable,N/A,unavailable,N/A
16,16,17,unavailable,unavailable,unavailable,N/A,unavailable,N/A
17,17,18,unavailable,unavailable,unavailable,N/A,unavailable,N/A
18,18,19,"
362.00 to 363.00 °C. @ 760.00 mm Hg (est)
","
204.00 to 208.00 °C. @ 760.00 mm Hg
",362,y,204,y
19,19,20,unavailable,unavailable,unavailable,N/A,unavailable,N/A
20,20,21,unavailable,unavailable,unavailable,N/A,unavailable,N/A
21,21,22,unavailable,unavailable,unavailable,N/A,unavailable,N/A
22,22,23,unavailable,unavailable,unavailable,N/A,unavailable,N/A
23,23,24,unavailable,unavailable,unavailable,N/A,unavailable,N/A
24,24,25,unavailable,unavailable,unavailable,N/A,unavailable,N/A
25,25,26,unavailable,unavailable,unavailable,N/A,unavailable,N/A
26,26,27,unavailable,unavailable,unavailable,N/A,unavailable,N/A
27,27,28,unavailable,unavailable,unavailable,N/A,unavailable,N/A
28,28,29,unavailable,unavailable,unavailable,N/A,unavailable,N/A
29,29,30,unavailable,unavailable,unavailable,N/A,unavailable,N/A
30,30,31,unavailable,unavailable,unavailable,N/A,unavailable,N/A
31,31,32,unavailable,unavailable,unavailable,N/A,unavailable,N/A
32,32,33,"
185 °F at 760 mmHg (NTP, 1992)
","
3 °F (USCG, 1999)
",85.0,y,-16.11111111111111,y
33,33,34,"
262 °F at 760 mmHg (EPA, 1998)
","
-89.5 °F (EPA, 1998)
",127.77777777777779,y,31.666666666666668,y
34,34,35,unavailable,unavailable,unavailable,N/A,unavailable,N/A
35,35,36,unavailable,unavailable,unavailable,N/A,unavailable,N/A
36,36,37,unavailable,unavailable,unavailable,N/A,unavailable,N/A
37,37,38,unavailable,unavailable,unavailable,N/A,unavailable,N/A
38,38,39,unavailable,unavailable,unavailable,N/A,unavailable,N/A
39,39,40,unavailable,unavailable,unavailable,N/A,unavailable,N/A
40,40,41,unavailable,unavailable,unavailable,N/A,unavailable,N/A
41,41,42,unavailable,unavailable,unavailable,N/A,unavailable,N/A
42,42,43,unavailable,unavailable,unavailable,N/A,unavailable,N/A
