,CO,C=O,CN,C=N,C#N
0,3,2,4,0,0
1,3,2,4,0,0
2,3,1,0,0,0
3,1,0,1,0,0
4,1,1,1,0,0
5,0,0,0,0,0
6,0,0,0,0,0
7,3,1,0,0,0
8,6,0,0,0,0
9,2,4,6,0,0
10,0,0,0,0,0
11,0,0,0,0,0
12,0,0,0,0,0
13,2,3,0,0,0
14,1,1,0,0,0
15,0,2,4,0,0
16,2,2,1,1,0
17,4,3,0,0,0
18,1,1,0,0,0
19,1,1,0,0,0
20,2,2,0,0,0
21,2,2,0,0,0
22,2,3,1,0,0
23,5,1,8,1,0
24,4,0,2,0,0
25,1,3,7,2,0
26,4,0,1,1,0
27,2,2,1,0,0
28,1,2,1,0,0
29,1,2,1,0,0
30,4,0,0,0,0
31,3,3,0,0,0
32,0,1,0,0,0
33,1,0,0,0,0
34,3,2,0,0,0
35,3,2,0,0,0
36,4,2,0,0,0
37,2,2,0,0,0
38,2,2,0,0,0
39,6,0,0,0,0
40,2,1,0,0,0
41,3,3,0,0,0
42,3,2,0,0,0
43,3,2,0,0,0
44,3,2,0,0,0
45,4,2,0,0,0
46,1,2,0,0,0
47,1,3,1,0,0
48,1,2,0,0,0
49,5,2,0,0,0
50,2,3,0,0,0
51,8,3,4,0,0
52,7,4,4,0,0
53,7,3,4,0,0
54,0,0,0,0,0
55,1,0,0,0,0
56,0,0,0,0,0
57,1,2,0,0,0
58,3,1,0,0,0
59,9,0,0,0,0
60,3,1,0,0,0
61,1,0,0,0,0
62,1,1,2,0,0
63,2,0,0,0,0
64,0,0,0,0,0
65,0,0,0,0,0
66,4,3,0,0,0
67,4,0,0,0,0
68,2,2,0,0,0
69,1,2,0,0,0
70,2,3,0,0,0
71,1,1,0,0,0
72,5,0,0,0,0
73,7,4,4,0,0
74,0,1,1,0,0
75,1,1,0,0,0
76,3,2,0,0,0
77,1,1,1,0,0
78,0,0,0,0,1
79,3,2,0,0,0
80,5,2,0,0,0
81,6,2,0,0,0
82,1,2,0,0,0
83,9,4,4,0,0
84,2,1,4,0,0
85,1,1,0,0,0
86,2,1,0,0,0
87,8,3,4,0,0
88,1,2,1,0,0
89,9,4,4,0,0
90,1,1,0,0,0
91,3,0,3,0,0
92,2,3,0,0,0
93,8,5,4,0,0
94,5,2,0,0,0
95,1,2,0,0,0
96,13,1,0,0,0
97,1,2,0,0,0
98,7,3,4,0,0
99,1,1,0,0,0
100,0,1,0,0,0
101,1,0,0,0,0
102,9,4,4,0,0
103,3,2,0,0,0
104,2,2,0,0,0
105,2,1,1,0,0
106,1,1,0,0,0
107,1,1,0,0,0
108,1,1,1,0,0
109,1,2,0,0,0
110,1,2,3,0,0
111,3,2,0,0,0
112,3,2,0,0,0
113,1,1,0,0,0
114,5,0,1,0,0
115,4,2,1,0,0
116,1,1,0,0,0
117,0,1,1,0,0
118,1,1,1,0,0
119,3,2,0,0,0
120,9,0,0,0,0
121,2,4,0,0,0
122,0,1,4,1,0
123,2,2,0,0,0
124,1,0,0,0,0
125,0,1,0,0,0
126,1,1,0,0,0
127,1,2,3,1,0
128,0,1,0,0,0
129,4,4,0,0,0
130,3,2,2,0,0
131,3,3,4,0,0
132,0,1,4,0,0
133,1,1,4,0,0
134,1,1,0,0,0
135,2,3,6,1,0
136,1,2,1,0,0
137,1,1,1,0,0
138,3,0,0,0,0
139,4,0,0,0,0
140,10,1,0,0,0
141,4,0,0,0,0
142,2,4,6,0,0
143,1,1,1,0,0
144,4,3,0,0,0
145,2,3,6,0,0
146,5,0,2,0,0
147,5,0,2,0,0
148,4,0,0,0,0
149,5,0,1,0,0
150,5,2,4,0,0
151,5,1,3,0,0
152,5,0,0,0,0
153,5,1,4,1,0
154,1,2,2,0,0
155,0,0,2,0,0
156,5,2,0,0,0
157,3,2,0,0,0
158,5,1,0,0,0
159,4,1,0,0,0
160,3,1,7,2,0
161,1,2,4,0,0
162,8,4,4,0,0
163,1,2,1,1,0
164,2,1,2,0,0
165,0,3,8,1,0
166,0,0,2,0,0
167,14,0,0,0,0
168,3,1,0,0,0
169,1,1,2,1,0
170,0,0,1,0,0
171,1,0,0,0,0
172,1,2,1,0,0
173,2,0,0,0,0
174,1,1,0,0,0
175,1,1,0,0,0
176,0,1,0,0,0
177,0,1,1,0,0
178,1,1,0,0,0
179,0,1,0,0,0
180,7,3,4,0,0
181,7,1,2,0,0
182,13,2,4,0,0
183,6,3,5,0,0
184,2,3,2,0,0
185,1,1,0,0,0
186,2,1,4,0,0
187,15,1,0,0,0
188,3,2,1,0,0
189,0,0,0,0,0
190,5,0,0,0,0
191,11,0,0,0,0
192,5,1,1,0,0
193,10,0,0,0,0
194,7,2,1,0,0
195,2,2,0,0,0
196,5,0,0,0,0
197,12,0,0,0,0
198,0,0,4,1,0
199,5,1,1,0,0
200,1,0,0,0,0
201,1,0,0,0,0
202,1,3,6,0,0
203,0,3,7,0,0
204,2,1,1,0,0
205,7,0,0,0,0
206,1,2,1,0,0
207,7,0,0,0,0
208,26,7,11,0,0
209,21,3,4,0,0
210,5,0,0,0,0
211,5,0,0,0,0
212,6,1,0,0,0
213,3,2,0,0,0
214,0,1,1,0,0
215,1,0,0,0,0
216,1,0,0,0,0
217,1,0,1,1,0
218,1,2,1,0,0
219,2,0,0,0,0
220,4,0,1,0,0
221,0,0,0,0,0
222,0,0,0,0,0
223,5,0,0,0,0
224,1,1,0,0,0
225,1,0,1,0,0
226,1,1,0,0,0
227,5,0,0,0,0
228,6,0,0,0,0
229,4,1,0,0,0
230,1,1,0,0,0
231,1,1,4,1,0
232,0,0,0,0,0
233,0,0,0,0,0
234,6,1,0,0,0
235,1,2,2,0,0
236,1,0,4,0,0
237,5,0,0,0,0
238,1,1,1,0,0
